IntId,RwisLocationIntId,ExtId,AgencyIdentifier,OutsideAgencyIdentifier,ControllerMakerId,Model,IsActive,SerialNumber,CommunicationTypeId,CommunicationNumber,PowerSourceId,Comments,Latitude,Longitude,XGeoCoordinate,YGeoCoordinate,MapLevel,DateCreated,LastUpdated,NumberOfPavementSensors,AtmosphericFile,SurfaceFile,DetailViewUrl
1,1,1,15-39234-V29,ut29,3,CSI,1,NULL,4,166.154.68.90,2,NULL,41.8861,-112.1692,-112169000,41886000,5,13/04/2009 02:03:16 PM,26/09/2017 08:13:27 AM,0,1,2,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut29
2,2,2,15-37777-V28,ut28,3,CSI,1,NULL,5,10.250.5.16,0,NULL,41.6904,-112.1629,-112163000,41690000,5,13/04/2009 02:03:16 PM,14/10/2013 02:17:57 PM,1,3,4,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut28
3,3,3,15-35881-S11,utwld,3,CSI,1,NULL,1,435-723-2745,0,NULL,41.4402,-112.0564,-112056000,41440000,5,13/04/2009 02:03:16 PM,14/10/2013 02:18:50 PM,0,5,6,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utwld
4,4,4,15-32146-S4,cen,3,CSI,1,NULL,2,10.203.6.28,2,NULL,40.9497,-111.8916,-111892000,40950000,5,13/04/2009 02:03:16 PM,12/03/2018 02:15:19 PM,1,7,8,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=cen
6,6,6,15-30776-V20,ut20,3,CSI,1,NULL,2,10.205.7.16,0,NULL,40.7583,-111.9121,-111912000,40758000,5,13/04/2009 02:03:16 PM,14/10/2013 01:58:36 PM,1,9,10,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut20
7,7,7,15-30726-V21,ut21,3,CSI,0,NULL,2,10.204.15.144,0,NULL,40.7537,-111.9106,-111911000,40754000,5,13/04/2009 02:03:17 PM,15/12/2014 10:43:33 AM,0,143,142,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut21
8,8,8,15-30464-V23,ut23,3,CSI,1,NULL,2,10.208.15.156,0,NULL,40.7171,-111.9044,-111904000,40717000,5,13/04/2009 02:03:16 PM,14/10/2013 01:57:04 PM,0,11,12,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut23
9,9,9,15-29910-V12,ut12,3,CSI,1,NULL,2,10.208.6.208,0,NULL,40.6371,-111.905,-111905000,40637000,5,13/04/2009 02:03:16 PM,10/09/2019 04:25:33 PM,0,13,14,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=ut12
10,10,10,15-29567-V11,ut11,3,CSI,0,NULL,2,10.208.25.28,0,NULL,40.5887,-111.8998,-111900000,40589000,5,13/04/2009 02:03:16 PM,24/07/2018 08:17:25 AM,1,15,16,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut11
11,11,11,15-28763-V7,ut7,3,CSI,1,NULL,2,10.212.6.162,0,NULL,40.4754,-111.9049,-111905000,40475000,5,13/04/2009 02:03:16 PM,14/10/2013 01:56:45 PM,1,17,18,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut7
12,12,12,15-28573-V18,utalp,3,CSI,1,NULL,2,10.212.6.226,0,NULL,40.4497,-111.9116,-111912000,40450000,5,13/04/2009 02:03:16 PM,14/10/2013 02:02:32 PM,1,19,20,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utalp
