Row,EntityOrgId,EntityIntId,Latitude,Longitude,XGeoCoordinate,YGeoCoordinate,MapLevel,Rotation Anlge,IconType,LinkDirection,MilePost,ReferenceMarkerLocation,CabinetPkey,Export,DateCreated,LastUpdated,RoadwayName
1,333,1,40.70009,-111.79442,-111794420,40700090,5,0,0,0,1.84,NULL,0,1,12:25:56 AM,12:52:57 AM,I-215 E
2,333,2,40.68937,-111.7971,-111797100,40689370,5,0,0,0,2.58,NULL,0,1,12:25:56 AM,12:54:54 AM,I-215 E
3,333,3,40.68734,-111.7978,-111797800,40687340,5,180,0,0,2.73,NULL,0,1,12:00:00 AM,12:55:58 AM,I-215 E
4,333,4,40.68265,-111.79714,-111797140,40682650,5,0,0,0,3.05,NULL,0,1,12:25:56 AM,12:14:18 AM,I-215 E
5,333,5,40.674755,-111.802909,-111802909,40674755,5,180,0,0,3.67,NULL,0,1,12:25:56 AM,12:37:58 AM,I-215 E
6,333,6,40.66625,-111.80545,-111805450,40666250,5,0,0,0,4.27,NULL,0,1,12:25:56 AM,12:02:04 AM,I-215 E
7,333,7,40.65701,-111.80678,-111806780,40657010,5,0,0,0,4.65,NULL,0,1,12:25:56 AM,12:54:06 AM,I-215 E
8,333,8,40.64836,-111.80766,-111807660,40648360,5,0,0,0,NULL,NULL,0,1,12:00:00 AM,12:54:32 AM,NULL
9,333,9,40.63746,-111.80779,-111807790,40637460,5,0,0,0,NULL,NULL,0,1,12:25:56 AM,12:44:52 AM,NULL
10,333,10,40.63451,-111.81117,-111811170,40634510,5,270,0,0,NULL,NULL,0,1,12:00:00 AM,12:58:39 AM,NULL
11,333,11,40.63472,-111.82453,-111824530,40634720,5,90,0,0,NULL,NULL,0,1,12:25:56 AM,12:51:20 AM,NULL
12,333,12,40.63334,-111.8341,-111834100,40633340,5,90,0,0,NULL,NULL,0,1,12:25:56 AM,12:37:42 AM,NULL
13,333,13,40.63136,-111.83796,-111837960,40631360,5,270,0,0,NULL,NULL,0,1,12:25:56 AM,12:48:26 AM,NULL
14,333,14,40.63078,-111.85444,-111854440,40630780,5,90,0,0,NULL,NULL,0,1,12:25:56 AM,12:59:45 AM,NULL
15,333,15,40.6304,-111.86241,-111862410,40630400,5,90,0,0,NULL,NULL,0,1,12:25:56 AM,12:55:45 AM,NULL
16,333,16,40.6306,-111.8662,-111866200,40630600,5,90,0,0,NULL,NULL,0,1,12:25:56 AM,12:04:49 AM,NULL
17,333,17,40.63072,-111.88173,-111881730,40630720,5,270,0,0,NULL,NULL,0,1,12:25:56 AM,12:40:55 AM,NULL
18,333,18,40.63153,-111.88975,-111889750,40631530,5,270,0,0,NULL,NULL,0,1,12:00:00 AM,12:51:43 AM,NULL
19,333,19,40.63524,-111.89751,-111897510,40635240,5,90,0,0,NULL,NULL,0,1,12:25:56 AM,12:50:45 AM,NULL
20,333,20,40.63568,-111.91044,-111910440,40635680,5,270,0,0,NULL,NULL,0,1,12:25:56 AM,12:04:41 AM,NULL
21,333,21,40.63763,-111.92103,-111921030,40637630,5,270,0,0,NULL,NULL,0,1,12:25:56 AM,12:40:09 AM,NULL
22,333,22,40.64432,-111.92868,-111928680,40644320,5,90,0,0,NULL,NULL,0,1,12:25:56 AM,12:49:12 AM,NULL
23,333,23,40.64253,-111.93745,-111937450,40642530,5,270,0,0,NULL,NULL,0,1,12:00:00 AM,12:00:26 AM,NULL
24,333,24,40.64504,-111.93948,-111939480,40645040,5,90,0,0,NULL,NULL,0,1,12:00:00 AM,12:10:42 AM,NULL
25,333,25,40.64688,-111.94916,-111949160,40646880,5,300,0,0,NULL,NULL,0,1,12:25:56 AM,12:53:08 AM,NULL
26,333,26,40.65984,-111.95302,-111953020,40659840,5,180,0,0,NULL,NULL,0,1,12:25:56 AM,12:43:09 AM,NULL
