ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude,Longitude,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID
1,1,I-15,SB,350 N / MP 308.92,SLC,SL,10122,"I-15 SB @ 350 N / MP 308.92, SLC",R2,308.92, 40.776556,-111.910825,10.204.13.142:300,"I-15 SB @ 350 N / MP 308.92, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
2,2,I-15,SB,600 S / MP 307.49,SLC,SL,20001,"I-15 SB @ 600 S / MP 307.49, SLC",R2,307.49, 40.756187,-111.912676,10.205.11.26:300,"I-15 SB @ 600 S / MP 307.49, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
3,4,I-15,SB,3900 S / MP 302.57,SSL,SL,20002,"I-15 SB @ 3900 S / MP 302.57, SSL",R2,302.57, 40.687217,-111.903261,10.208.8.224:300,"I-15 SB @ 3900 S / MP 302.57, SSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
4,5,I-15,SB,4800 S / MP 301.15,MUR,SL,20003,"I-15 SB @ 4800 S / MP 301.15, MUR",R2,301.15, 40.666917,-111.901783,10.208.8.212:300,"I-15 SB @ 4800 S / MP 301.15, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
5,6,I-15,SB,8200 S / MP 296.64,MDV,SL,10068,"I-15 SB @ 8200 S / MP 296.64, MDV",R2,296.64, 40.601960,-111.904590,10.212.7.206:300,"I-15 SB @ 8200 S / MP 296.64, MDV",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
6,100291,I-15,NB,9800 S / MP 294.59,SND,SL,10059,"I-15 NB @ 9800 S / MP 294.59, SND",R2,294.59, 40.572734,-111.899794,10.212.26.190,"I-15 NB @ 9800 S / MP 294.59, SND",Daktronics,Color 96X336,10,TRUE,TRUE,7/28/2021,7/28/2031,NA,NA,NA,20110,FALSE,NA
7,8,I-15 Collector,NB,8450 S / MP 296.32,MDV,SL,10069,"I-15 Collector NB @ 8450 S / MP 296.32, MDV",R2,296.32,40.597530,-111.902772,10.212.6.26:161,"I-15 Collector NB @ 8450 S / MP 296.32, MDV",Daktronics,Color 96x336,10,TRUE,TRUE,2/25/2021,2/25/2031,NA,NA,NA,NA,FALSE,NA
8,9,I-15,NB,5000 S / MP 300.98,MUR,SL,20007,"I-15 NB @ 5000 S / MP 300.98, MUR",R2,300.98, 40.664433,-111.901014,10.208.8.206:300,"I-15 NB @ 5000 S / MP 300.98, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
9,10,I-15,NB,4000 S / MP 302.45,NA,SL,20008,"I-15 NB @ 4000 S / MP 302.45, SL",R2,302.45, 40.685628,-111.902381,10.208.8.218:300,"I-15 NB @ 4000 S / MP 302.45, SL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
10,11,I-15,NB,1300 S / MP 306.41,SLC,SL,20009,"I-15 NB @ 1300 S / MP 306.41, SLC",R2,306.41, 40.742692,-111.903764,10.205.6.202:300,"I-15 NB @ 1300 S / MP 306.41, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
