ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude.x,Longitude.x,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID,X,Latitude.y,Longitude.y
6,100291,I-15,NB,9800 S / MP 294.59,SND,SL,10059,"I-15 NB @ 9800 S / MP 294.59, SND",R2,294.59, 40.572734,-111.899794,10.212.26.190,"I-15 NB @ 9800 S / MP 294.59, SND",Daktronics,Color 96X336,10,TRUE,TRUE,7/28/2021,7/28/2031,NA,NA,NA,20110,FALSE,NA,100291,40.571166,-111.899561
7,8,I-15 Collector,NB,8450 S / MP 296.32,MDV,SL,10069,"I-15 Collector NB @ 8450 S / MP 296.32, MDV",R2,296.32,40.597530,-111.902772,10.212.6.26:161,"I-15 Collector NB @ 8450 S / MP 296.32, MDV",Daktronics,Color 96x336,10,TRUE,TRUE,2/25/2021,2/25/2031,NA,NA,NA,NA,FALSE,NA,8,40.598621,-111.90209
20,21,I-215 W,SB,2700 S / MP 18.65,WVC,SL,20019,"I-215 W SB @ 2700 S / MP 18.65, WVC",R2,18.65,40.712639,-111.954117,10.210.6.26:161,"I-215 W SB @ 2700 S / MP 18.65, WVC",Daktronics,27x105,10,TRUE,TRUE,2/15/2018,2/15/2028,NA,NA,NA,NA,FALSE,NA,21,40.712633,-111.954492
22,23,I-215 W,NB,4100 S / MP 16.5,TAY,SL,10226,"I-215 W NB @ 4100 S / MP 16.5, TAY",R2,16.5,40.681693,-111.951046,10.208.13.166:161,"I-215 W NB @ 4100 S / MP 16.5, TAY",Daktronics,27x105,10,TRUE,TRUE,2/15/2018,2/15/2028,NA,NA,NA,NA,FALSE,NA,23,40.681312,-111.950328
32,100235,I-15,NB,15400 S / MP 287.23,DPR,SL,6818,"I-15 NB @ 15400 S / MP 287.23, DPR",R2,287.23, 40.471272,-111.908160,10.212.22.214:161,"I-15 NB @ 15400 S / MP 287.23, DPR",Daktronics,27x105,NA,TRUE,TRUE,9/22/2016,NA,NA,NA,NA,NA,FALSE,NA,100235,40.471452,-111.908017
60,100236,I-15,SB,4550 N / MP 285.05,LHI,UT,5991,"I-15 SB @ 4550 N / MP 285.05, LHI",R3,285.05, 40.442720,-111.904063,10.212.25.166:161,"I-15 SB @ 4550 N / MP 285.05, LHI",Daktronics,27x105,NA,TRUE,TRUE,9/22/2016,NA,NA,NA,NA,NA,FALSE,NA,100236,40.442679,-111.903971
62,81,500 S / Cesar E Chavez Blvd / SR-269,WB,350 W to I-80 WB,SLC,SL,5874,"500 S / Cesar E Chavez Blvd / SR-269 @ 350 W, SLC",R2,1.57, 40.758506,-111.900894,10.204.5.108:161,"500 S / Cesar E Chavez Blvd / SR-269 WB @ 350 W to I-80 WB, SLC",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
63,82,500 S / Cesar E Chavez Blvd / SR-269,WB,350 W to I-15 SB,SLC,SL,5874,"500 S / Cesar E Chavez Blvd / SR-269 @ 350 W, SLC",R2,1.57, 40.758464,-111.900894,10.204.5.109:161,"500 S / Cesar E Chavez Blvd / SR-269 WB @ 350 W to I-15 SB, SLC",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
64,83,500 S / Cesar E Chavez Blvd / SR-269,WB,350 W to I-80 EB,SLC,SL,5874,"500 S / Cesar E Chavez Blvd / SR-269 @ 350 W, SLC",R2,1.57, 40.758422,-111.900897,10.204.5.110:161,"500 S / Cesar E Chavez Blvd / SR-269 WB @ 350 W to I-80 EB, SLC",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
65,84,300 W / John Stockton Dr / US-89,SB,350 S,SLC,SL,6208,"300 W / John Stockton Dr / US-89 SB @ 350 S, SLC",R2,379.22, 40.761647,-111.899667,10.211.6.38:161,"300 W / John Stockton Dr / US-89 SB @ 350 S, SLC",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA,84,40.762041,-111.899962
